riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs974819-T	2E-9	-	0.32	1.07	-	[1.04-1.09]	PDGFDDN	"Coronary heart disease"	"coronary artery disease"	-	GCST000999	11:103789839	21378988	"Coronary Artery Disease (C4D) Genetics Consortium"
rs9349379-?	9E-26	-	NR	-	-	-	PHACTR1	"Coronary heart disease"	"coronary artery disease"	-	GCST000999	6:12903725	21378988	"Coronary Artery Disease (C4D) Genetics Consortium"
rs1395821-?	7E-7	-	NR	-	-	-	MIR548G,TTC29	"Coronary heart disease"	"coronary artery disease"	-	GCST000999	4:147126398	21378988	"Coronary Artery Disease (C4D) Genetics Consortium"
rs11650066-?	6E-6	-	NR	-	-	-	ASIC2	"Coronary heart disease"	"coronary artery disease"	-	GCST000999	17:33960430	21378988	"Coronary Artery Disease (C4D) Genetics Consortium"
rs17114046-?	2E-7	-	NR	-	-	-	PLPP3	"Coronary heart disease"	"coronary artery disease"	-	GCST000999	1:56500678	21378988	"Coronary Artery Disease (C4D) Genetics Consortium"
rs4743150-?	5E-6	-	NR	-	-	-	HEMGN,ANP32B	"Coronary heart disease"	"coronary artery disease"	-	GCST000999	9:97977842	21378988	"Coronary Artery Disease (C4D) Genetics Consortium"
rs646776-T	6E-10	-	NR	1.14	-	[1.09-1.19]	PSRC1,CELSR2	"Coronary heart disease"	"coronary artery disease"	-	GCST000999	1:109275908	21378988	"Coronary Artery Disease (C4D) Genetics Consortium"
rs1412444-T	3E-13	-	0.42	1.09	-	[1.07-1.12]	LIPA	"Coronary heart disease"	"coronary artery disease"	-	GCST000999	10:89243170	21378988	"Coronary Artery Disease (C4D) Genetics Consortium"
rs12413409-?	4E-6	-	NR	-	-	-	CNNM2	"Coronary heart disease"	"coronary artery disease"	-	GCST000999	10:102959339	21378988	"Coronary Artery Disease (C4D) Genetics Consortium"
rs599839-A	3E-10	-	0.78	1.11	-	[1.08-1.15]	CELSR2,PSRC1	"Coronary heart disease"	"coronary artery disease"	-	GCST000998	1:109279544	21378990	"Schunkert H"
rs17465637-C	1E-8	-	0.74	1.14	-	[1.09-1.20]	MIA3	"Coronary heart disease"	"coronary artery disease"	-	GCST000998	1:222650187	21378990	"Schunkert H"
rs12526453-C	1E-9	-	0.67	1.1	-	[1.06-1.13]	PHACTR1	"Coronary heart disease"	"coronary artery disease"	-	GCST000998	6:12927312	21378990	"Schunkert H"
rs216172-C	1E-9	-	0.37	1.07	-	[1.05-1.09]	SMG6	"Coronary heart disease"	"coronary artery disease"	-	GCST000998	17:2223210	21378990	"Schunkert H"
rs46522-T	2E-8	-	0.53	1.06	-	[1.04-1.08]	UBE2Z	"Coronary heart disease"	"coronary artery disease"	-	GCST000998	17:48911235	21378990	"Schunkert H"
rs11206510-T	9E-8	-	0.82	1.08	-	[1.05-1.11]	BSND,PCSK9	"Coronary heart disease"	"coronary artery disease"	-	GCST000998	1:55030366	21378990	"Schunkert H"
rs17114036-A	4E-19	-	0.91	1.17	-	[1.13-1.22]	PLPP3	"Coronary heart disease"	"coronary artery disease"	-	GCST000998	1:56497149	21378990	"Schunkert H"
rs12190287-C	1E-12	-	0.62	1.08	-	[1.06-1.10]	TARID,TCF21	"Coronary heart disease"	"coronary artery disease"	-	GCST000998	6:133893387	21378990	"Schunkert H"
rs11556924-C	9E-18	-	0.62	1.09	-	[1.07-1.12]	ZC3HC1,UBE2H-DT	"Coronary heart disease"	"coronary artery disease"	-	GCST000998	7:130023656	21378990	"Schunkert H"
rs12413409-G	1E-9	-	0.89	1.12	-	[1.08-1.16]	CNNM2	"Coronary heart disease"	"coronary artery disease"	-	GCST000998	10:102959339	21378990	"Schunkert H"
rs4773144-G	4E-9	-	0.44	1.07	-	[1.05-1.09]	COL4A2	"Coronary heart disease"	"coronary artery disease"	-	GCST000998	13:110308365	21378990	"Schunkert H"
rs2895811-C	1E-10	-	0.43	1.07	-	[1.05-1.10]	HHIPL1	"Coronary heart disease"	"coronary artery disease"	-	GCST000998	14:99667605	21378990	"Schunkert H"
rs3798220-C	3E-11	-	0.02	1.51	-	[1.33-1.70]	LPA	"Coronary heart disease"	"coronary artery disease"	-	GCST000998	6:160540105	21378990	"Schunkert H"
rs3184504-T	6E-6	-	0.44	1.07	-	[1.04-1.10]	ATXN2,SH2B3	"Coronary heart disease"	"coronary artery disease"	-	GCST000998	12:111446804	21378990	"Schunkert H"
rs7651039-C	2E-6	-	0.54	1.06	-	[1.04-1.09]	BTD	"Coronary heart disease"	"coronary artery disease"	-	GCST000998	3:15606497	21378990	"Schunkert H"
rs4937126-G	5E-6	-	0.69	1.06	-	[1.04-1.09]	ST3GAL4	"Coronary heart disease"	"coronary artery disease"	-	GCST000998	11:126412002	21378990	"Schunkert H"
rs1746048-C	3E-10	-	0.87	1.09	-	[1.07-1.13]	LINC02881,LINC03089	"Coronary heart disease"	"coronary artery disease"	-	GCST000998	10:44280376	21378990	"Schunkert H"
rs17609940-G	1E-8	-	0.75	1.07	-	[1.05-1.10]	ANKS1A	"Coronary heart disease"	"coronary artery disease"	-	GCST000998	6:35067023	21378990	"Schunkert H"
rs579459-C	4E-14	-	0.21	1.1	-	[1.07-1.13]	ABO,Y_RNA	"Coronary heart disease"	"coronary artery disease"	-	GCST000998	9:133278724	21378990	"Schunkert H"
rs964184-G	1E-17	-	0.13	1.13	-	[1.10-1.16]	ZPR1	"Coronary heart disease"	"coronary artery disease"	-	GCST000998	11:116778201	21378990	"Schunkert H"
rs3825807-A	1E-12	-	0.57	1.08	-	[1.06-1.10]	ADAMTS7	"Coronary heart disease"	"coronary artery disease"	-	GCST000998	15:78796769	21378990	"Schunkert H"
rs2306374-C	3E-8	-	0.18	1.12	-	[1.07-1.16]	MRAS	"Coronary heart disease"	"coronary artery disease"	-	GCST000998	3:138401110	21378990	"Schunkert H"
rs6725887-C	1E-9	-	0.15	1.14	-	[1.09-1.19]	WDR12	"Coronary heart disease"	"coronary artery disease"	-	GCST000998	2:202881162	21378990	"Schunkert H"
rs4977574-G	1E-22	-	0.46	1.29	-	[1.23-1.36]	CDKN2B-AS1	"Coronary heart disease"	"coronary artery disease"	-	GCST000998	9:22098575	21378990	"Schunkert H"
rs1122608-G	1E-9	-	0.77	1.14	-	[1.09-1.18]	SMARCA4	"Coronary heart disease"	"coronary artery disease"	-	GCST000998	19:11052925	21378990	"Schunkert H"
rs9982601-T	4E-10	-	0.15	1.18	-	[1.12-1.24]	LINC00310,KCNE2,MRPS6	"Coronary heart disease"	"coronary artery disease"	-	GCST000998	21:34226827	21378990	"Schunkert H"
rs10933436-A	7E-6	-	0.49	1.06	-	[1.04-1.09]	INPP5D	"Coronary heart disease"	"coronary artery disease"	-	GCST000998	2:233133771	21378990	"Schunkert H"
rs7808424-G	1E-6	-	0.12	1.1	-	[1.06-1.14]	CFTR,ASZ1	"Coronary heart disease"	"coronary artery disease"	-	GCST000998	7:117427768	21378990	"Schunkert H"
rs1231206-A	9E-10	-	0.37	1.07	-	[1.05-1.09]	SMG6	"Coronary heart disease"	"coronary artery disease"	-	GCST000998	17:2222311	21378990	"Schunkert H"
rs12936587-G	4E-10	-	0.56	1.07	-	[1.05-1.09]	SMCR2,PEMT	"Coronary heart disease"	"coronary artery disease"	-	GCST000998	17:17640408	21378990	"Schunkert H"
"rs12091564-C,rs10218795-C"	2E-7	-	NR	-	-	-	"HJV - RNVU1-6 x HJV"	"Coronary heart disease (SNP X SNP interaction)"	"coronary artery disease"	-	GCST001084	1:146039391,1:146018957	21626137	"Slavin TP"
rs11924705-C,rs6789378-A	4E-14	-	NR	-	-	-	"OTOL1 - TOMM22P6 x OTOL1 - TOMM22P6"	"Coronary heart disease (SNP X SNP interaction)"	"coronary artery disease"	-	GCST001084	3:162443828,3:162449608	21626137	"Slavin TP"
rs7697839-G,rs7673097-G	2E-11	-	NR	-	-	-	"STK32B x STK32B"	"Coronary heart disease (SNP X SNP interaction)"	"coronary artery disease"	-	GCST001084	4:5366258,4:5366497	21626137	"Slavin TP"
rs1333048-G,rs1333049-G	7E-14	-	NR	-	-	-	"CDKN2B-AS1 x CDKN2B-AS1"	"Coronary heart disease (SNP X SNP interaction)"	"coronary artery disease"	-	GCST001084	9:22125348,9:22125504	21626137	"Slavin TP"
rs1165668-G,rs1165669-C	3E-9	-	NR	-	-	-	"TTC41P - HSP90B1 x TTC41P - HSP90B1"	"Coronary heart disease (SNP X SNP interaction)"	"coronary artery disease"	-	GCST001084	"12:103924218,12:103924394"	21626137	"Slavin TP"
rs9349379-G	8E-10	(CAD)	0.349	1.338	-	[1.22-1.47]	PHACTR1	"Coronary heart disease"	"coronary artery disease"	-	GCST001581	6:12903725	22745674	"Hager J"
rs9349379-G	4E-7	(RCA)	0.349	1.23	-	[1.14-1.33]	PHACTR1	"Coronary heart disease"	"coronary artery disease"	-	GCST001581	6:12903725	22745674	"Hager J"
rs9349379-G	6E-12	(LAD)	0.349	1.187	-	[1.22-1.44]	PHACTR1	"Coronary heart disease"	"coronary artery disease"	-	GCST001581	6:12903725	22745674	"Hager J"
rs9349379-G	2E-9	-	0.74	1.15	-	[1.10-1.21]	PHACTR1	"Coronary heart disease"	"coronary artery disease"	-	GCST001587	6:12903725	22751097	"Lu X"
rs12524865-C	2E-7	-	0.61	1.11	-	[1.06-1.16]	TARID	"Coronary heart disease"	"coronary artery disease"	-	GCST001587	6:133875536	22751097	"Lu X"
rs7136259-T	6E-10	-	0.39	1.11	-	[1.08-1.15]	ATP2B1	"Coronary heart disease"	"coronary artery disease"	-	GCST001587	12:89687411	22751097	"Lu X"
rs2123536-T	7E-11	-	0.39	1.12	-	[1.08-1.16]	LINC01808,CISD1P1	"Coronary heart disease"	"coronary artery disease"	-	GCST001587	2:19745816	22751097	"Lu X"
rs1842896-T	1E-11	-	0.76	1.14	-	[1.10-1.19]	GUCY1A1,MTND1P22	"Coronary heart disease"	"coronary artery disease"	-	GCST001587	4:155590307	22751097	"Lu X"
rs9268402-G	3E-15	-	0.59	1.16	-	[1.12-1.20]	TSBP1-AS1	"Coronary heart disease"	"coronary artery disease"	-	GCST001587	6:32373576	22751097	"Lu X"
rs10757274-G	8E-45	-	0.46	1.37	-	[1.31-1.43]	CDKN2B-AS1	"Coronary heart disease"	"coronary artery disease"	-	GCST001587	9:22096056	22751097	"Lu X"
rs11066280-A	2E-11	-	0.17	1.19	-	[1.13-1.25]	HECTD4	"Coronary heart disease"	"coronary artery disease"	-	GCST001587	12:112379979	22751097	"Lu X"
rs1333049-C	3E-56	-	NR	1.24	-	[1.21-1.28]	CDKN2B-AS1	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	9:22125504	24262325	"Dichgans M"
rs9369640-?	3E-11	-	NR	1.0989	-	[1.08-1.14]	PHACTR1	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	6:12901209	24262325	"Dichgans M"
rs1122608-?	3E-11	-	NR	1.1364	-	[1.09-1.18]	SMARCA4	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	19:11052925	24262325	"Dichgans M"
rs9982601-T	3E-10	-	NR	1.18	-	[1.12-1.24]	LINC00310,KCNE2,MRPS6	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	21:34226827	24262325	"Dichgans M"
rs11556924-?	3E-10	-	NR	1.0989	-	[1.06-1.12]	ZC3HC1,UBE2H-DT	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	7:130023656	24262325	"Dichgans M"
rs12190287-?	2E-9	-	NR	1.1111	-	[1.08-1.15]	TARID,TCF21	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	6:133893387	24262325	"Dichgans M"
rs17114036-?	1E-8	-	NR	1.1494	-	[1.1-1.22]	PLPP3	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	1:56497149	24262325	"Dichgans M"
rs602633-?	1E-8	-	NR	1.1111	-	[1.08-1.15]	CELSR2,PSRC1	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	1:109278889	24262325	"Dichgans M"
rs6725887-C	2E-8	-	NR	1.14	-	[1.10-1.19]	WDR12	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	2:202881162	24262325	"Dichgans M"
rs7173743-?	7E-8	-	NR	1.0753	-	[1.05-1.11]	MORF4L1	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	15:78849442	24262325	"Dichgans M"
rs9818870-T	1E-7	-	NR	1.11	-	[1.07-1.15]	MRAS	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	3:138403280	24262325	"Dichgans M"
rs2281727-G	1E-7	-	NR	1.07	-	[1.04-1.10]	SMG6	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	17:2214651	24262325	"Dichgans M"
rs12936587-?	2E-7	-	NR	1.0753	-	[1.04-1.11]	SMCR2,PEMT	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	17:17640408	24262325	"Dichgans M"
rs579459-C	2E-7	-	NR	1.1	-	[1.06-1.14]	ABO,Y_RNA	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	9:133278724	24262325	"Dichgans M"
rs264-?	3E-7	-	NR	1.1111	-	[1.06-1.15]	LPL	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	8:19955669	24262325	"Dichgans M"
rs9326246-C	3E-7	-	NR	1.15	-	[1.09-1.21]	BUD13,LINC02702	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	11:116741017	24262325	"Dichgans M"
rs3184504-T	9E-7	-	NR	1.07	-	[1.04-1.11]	ATXN2,SH2B3	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	12:111446804	24262325	"Dichgans M"
rs1878406-T	1E-6	-	NR	1.1	-	[1.06-1.14]	EDNRA,PRMT5P1	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	4:147472512	24262325	"Dichgans M"
rs12413409-?	1E-6	-	NR	1.1236	-	[1.08-1.19]	CNNM2	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	10:102959339	24262325	"Dichgans M"
rs2048327-C	1E-6	-	NR	1.07	-	[1.05-1.10]	SLC22A3	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	6:160442500	24262325	"Dichgans M"
rs501120-?	2E-6	-	NR	1.087	-	[1.05-1.14]	LINC00841,LINC03089	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	10:44258419	24262325	"Dichgans M"
rs4773144-G	2E-6	-	NR	1.08	-	[1.05-1.12]	COL4A2	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	13:110308365	24262325	"Dichgans M"
rs12205331-?	6E-6	-	NR	1.0753	-	[1.04-1.11]	ANKS1A	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	6:34930678	24262325	"Dichgans M"
rs6905288-T	7E-8	-	NR	1.23	-	[NR]	VEGFA,LINC02537	"Coronary heart disease"	"coronary artery disease"	-	GCST001401	6:43791136	22319020	"Davies RW"
rs12200560-?	6E-7	-	NR	1.11	-	[NR]	RPS7P8,FHL5	"Coronary heart disease"	"coronary artery disease"	-	GCST001401	6:96632322	22319020	"Davies RW"
rs17458018-?	7E-6	-	NR	1.22	-	[NR]	FN1	"Coronary heart disease"	"coronary artery disease"	-	GCST001401	2:215420652	22319020	"Davies RW"
rs3869109-G	1E-9	-	NR	1.14	-	[NR]	HLA-C,HCG27	"Coronary heart disease"	"coronary artery disease"	-	GCST001401	6:31216419	22319020	"Davies RW"
rs2229238-?	7E-7	-	NR	1.45	-	[NR]	IL6R	"Coronary heart disease"	"coronary artery disease"	-	GCST001401	1:154465420	22319020	"Davies RW"
rs564398-G	2E-7	-	0.399	-	"0.1026 unit decrease"	-	CDKN2B-AS1	"Coronary heart disease"	"coronary artery disease"	-	GCST005767	9:22029548	29615537	"Kulminski AM"
rs980831-T	6E-6	-	0.022	-	"0.2922392 unit increase"	-	ST8SIA4,RN7SL802P	"Coronary heart disease"	"coronary artery disease"	-	GCST005767	5:101415163	29615537	"Kulminski AM"
rs11172113-T	3E-8	-	0.61	-	"0.414 unit decrease"	[0.27-0.56]	LRP1	"Spontaneous coronary artery dissection"	"coronary artery disease"	-	GCST90000582	12:57133500	32887874	"Saw J"
rs2722224-?	7E-6	-	NA	-	"0.335 unit decrease"	[0.19-0.48]	ATP2B1-AS1	"Spontaneous coronary artery dissection"	"coronary artery disease"	-	GCST90000582	12:89837533	32887874	"Saw J"
rs1014675-?	5E-6	-	NA	-	"0.781 unit increase"	[0.44-1.12]	LINC00485,IGF1	"Spontaneous coronary artery dissection"	"coronary artery disease"	-	GCST90000582	12:102759958	32887874	"Saw J"
rs11207415-?	3E-6	-	NA	-	"0.377 unit decrease"	[0.22-0.54]	JUN-DT,FGGY-DT	"Spontaneous coronary artery dissection"	"coronary artery disease"	-	GCST90000582	1:59170299	32887874	"Saw J"
rs12740679-G	2E-12	-	0.26	-	"0.586 unit increase"	[0.42-0.75]	CIART,MRPS21	"Spontaneous coronary artery dissection"	"coronary artery disease"	-	GCST90000582	1:150289855	32887874	"Saw J"
rs1260387-?	5E-12	-	NA	-	"0.572 unit decrease"	[0.41-0.73]	RPRD2	"Spontaneous coronary artery dissection"	"coronary artery disease"	-	GCST90000582	1:150398972	32887874	"Saw J"
rs377195216-?	6E-12	-	NA	-	"0.567 unit increase"	[0.41-0.73]	FALEC	"Spontaneous coronary artery dissection"	"coronary artery disease"	-	GCST90000582	1:150531585	32887874	"Saw J"
rs4535004-?	8E-6	-	NA	-	"0.326 unit increase"	[0.18-0.47]	ALK	"Spontaneous coronary artery dissection"	"coronary artery disease"	-	GCST90000582	2:29883673	32887874	"Saw J"
rs139820087-?	6E-6	-	NA	-	"1.242 unit decrease"	[0.7-1.78]	ICA1L	"Spontaneous coronary artery dissection"	"coronary artery disease"	-	GCST90000582	2:202777160	32887874	"Saw J"
rs78377252-?	2E-6	-	NA	-	"1.183 unit decrease"	[0.69-1.67]	NBEAL1	"Spontaneous coronary artery dissection"	"coronary artery disease"	-	GCST90000582	2:203046549	32887874	"Saw J"
rs180767135-?	9E-6	-	NA	-	"1.157 unit decrease"	[0.65-1.67]	NBEAL1	"Spontaneous coronary artery dissection"	"coronary artery disease"	-	GCST90000582	2:203169555	32887874	"Saw J"
rs2715408-?	8E-6	-	NA	-	"0.329 unit decrease"	[0.18-0.47]	NDUFB5P1,RNA5SP173	"Spontaneous coronary artery dissection"	"coronary artery disease"	-	GCST90000582	4:178450510	32887874	"Saw J"
rs560810-?	6E-6	-	NA	-	"0.334 unit increase"	[0.19-0.48]	PHACTR1	"Spontaneous coronary artery dissection"	"coronary artery disease"	-	GCST90000582	6:12722755	32887874	"Saw J"
rs9349379-A	4E-8	-	0.62	-	"0.403 unit decrease"	[0.26-0.55]	PHACTR1	"Spontaneous coronary artery dissection"	"coronary artery disease"	-	GCST90000582	6:12903725	32887874	"Saw J"
rs7775726-?	7E-6	-	NA	-	"1.23 unit increase"	[0.69-1.77]	SLC35F1,NUS1	"Spontaneous coronary artery dissection"	"coronary artery disease"	-	GCST90000582	6:117735879	32887874	"Saw J"
rs78349783-?	1E-6	-	NA	-	"0.561 unit increase"	[0.34-0.79]	NOX3,RNU7-152P	"Spontaneous coronary artery dissection"	"coronary artery disease"	-	GCST90000582	6:155492186	32887874	"Saw J"
rs28451064-G	1E-7	-	0.87	-	"0.597 unit increase"	[0.38-0.82]	KCNE2,LINC00310,MRPS6	"Spontaneous coronary artery dissection"	"coronary artery disease"	-	GCST90000582	21:34221526	32887874	"Saw J"
rs12740679-G	1E-11	-	0.2584	-	"0.5975 unit increase"	[0.42-0.77]	CIART,MRPS21	"Spontaneous coronary artery dissection"	"coronary artery disease"	-	GCST90000583	1:150289855	32887874	"Saw J"
rs9349379-A	5E-7	-	0.6175	-	"0.3921 unit increase"	[0.24-0.55]	PHACTR1	"Spontaneous coronary artery dissection"	"coronary artery disease"	-	GCST90000583	6:12903725	32887874	"Saw J"
rs11172113-T	6E-8	-	0.6089	-	"0.4302 unit increase"	[0.27-0.59]	LRP1	"Spontaneous coronary artery dissection"	"coronary artery disease"	-	GCST90000583	12:57133500	32887874	"Saw J"
rs28451064-G	3E-8	-	0.8723	-	"0.6682 unit increase"	[0.43-0.9]	KCNE2,LINC00310,MRPS6	"Spontaneous coronary artery dissection"	"coronary artery disease"	-	GCST90000583	21:34221526	32887874	"Saw J"
rs74617384-T	3E-12	-	NR	1.38	-	[1.26-1.51]	LPA	"Coronary artery disease in diabetes"	"coronary artery disease"	"diabetes mellitus"	GCST006405	6:160576086	30003307	"Fall T"
rs10811652-C	6E-11	-	NR	1.19	-	[1.13-1.26]	CDKN2B-AS1	"Coronary artery disease in diabetes"	"coronary artery disease"	"diabetes mellitus"	GCST006405	9:22077086	30003307	"Fall T"
rs1412444-T	4E-8	-	0.32	1.1	-	[1.07-1.14]	LIPA	"Coronary heart disease"	"coronary artery disease"	-	GCST001079	10:89243170	21606135	"Wild PS"
rs365302-C	8E-7	-	0.24	1.11	-	[1.06-1.15]	FNDC1	"Coronary heart disease"	"coronary artery disease"	-	GCST001079	6:159225301	21606135	"Wild PS"
rs16893526-G	5E-6	-	0.91	1.13	-	[1.07-1.21]	LINC01526	"Coronary heart disease"	"coronary artery disease"	-	GCST001079	6:81805598	21606135	"Wild PS"
rs1333049-C	7E-58	-	0.49	1.27	-	[1.23-1.31]	CDKN2B-AS1	"Coronary heart disease"	"coronary artery disease"	-	GCST001079	9:22125504	21606135	"Wild PS"
rs7865618-A	2E-27	-	0.59	1.18	-	[1.14-1.21]	CDKN2B-AS1	"Coronary heart disease"	"coronary artery disease"	-	GCST001079	9:22031006	21606135	"Wild PS"
rs12734338-G	3E-7	-	NR	29.0	-	[3.95-212.9]	PPP1R12B	"Coronary heart disease"	"coronary artery disease"	-	GCST002298	1:202500595	24778558	"Domarkienė I"
rs3853444-G	5E-6	-	NR	7.69	-	[2.70-20.0]	LINC01438,MIR297	"Coronary heart disease"	"coronary artery disease"	-	GCST002298	4:110812980	24778558	"Domarkienė I"
rs3883013-G	3E-7	-	NR	29.0	-	[3.95-212.9]	UBE2Q2P1	"Coronary heart disease"	"coronary artery disease"	-	GCST002298	15:84545426	24778558	"Domarkienė I"
rs9349379-?	9E-26	-	NR	-	-	-	PHACTR1	"Coronary heart disease"	"coronary artery disease"	-	GCST001185	6:12903725	21846871	"Mehta NN"
rs17114046-?	3E-7	-	NR	-	-	-	PLPP3	"Coronary heart disease"	"coronary artery disease"	-	GCST001185	1:56500678	21846871	"Mehta NN"
rs16945184-C	6E-6	-	NR	1.2048193	-	[1.11-1.3]	LINC00380,LINC00379	"Incident coronary heart disease"	"coronary artery disease"	-	GCST003431	13:91102945	26950853	"Dehghan A"
rs2916260-T	2E-6	-	NR	1.15	-	"[1.09 - 1.22]"	LRFN2	"Incident coronary heart disease"	"coronary artery disease"	-	GCST003431	6:40414972	26950853	"Dehghan A"
rs11556924-C	5E-11	-	0.686675	1.08	-	"[1.05- 1.10]"	ZC3HC1,UBE2H-DT	"Coronary artery disease"	"coronary artery disease"	-	GCST003116	7:130023656	26343387	"Nikpay M"
rs2681472-G	6E-11	-	0.201306	1.08	-	"[1.05- 1.10]"	ATP2B1	"Coronary artery disease"	"coronary artery disease"	-	GCST003116	12:89615182	26343387	"Nikpay M"
rs2128739-A	7E-11	-	0.323536	1.07	-	"[1.05- 1.09]"	PDGFDDN	"Coronary artery disease"	"coronary artery disease"	-	GCST003116	11:103802549	26343387	"Nikpay M"
rs4420638-G	7E-11	-	0.166036	1.1	-	"[1.07- 1.13]"	APOC1,APOC1P1	"Coronary artery disease"	"coronary artery disease"	-	GCST003116	19:44919689	26343387	"Nikpay M"
rs2107595-A	8E-11	-	0.20047	1.08	-	"[1.05- 1.10]"	HDAC9,TWIST1	"Coronary artery disease"	"coronary artery disease"	-	GCST003116	7:19009765	26343387	"Nikpay M"
rs11838776-A	1E-10	-	0.263277	1.07	-	"[1.05- 1.09]"	COL4A2	"Coronary artery disease"	"coronary artery disease"	-	GCST003116	13:110388334	26343387	"Nikpay M"
rs7568458-A	4E-10	-	0.448518	1.06	-	"[1.04- 1.08]"	GGCX	"Coronary artery disease"	"coronary artery disease"	-	GCST003116	2:85561052	26343387	"Nikpay M"
rs4593108-C	9E-10	-	0.795349	1.07	-	"[1.05- 1.10]"	MIR548G,RPL31P26	"Coronary artery disease"	"coronary artery disease"	-	GCST003116	4:147359849	26343387	"Nikpay M"
